URL Links,Department Initials,Title,Catalog Page,Course File Name
https://www.utdallas.edu/fact-sheets/is/ba-american-studies/,is,Bachelor of Arts in American Studies,https://catalog.utdallas.edu/now/undergraduate/programs/is/american-studies,courses/Bachelor of Arts in American Studies.csv
https://www.utdallas.edu/fact-sheets/is/bs-healthcare-studies/,is,Bachelor of Science in Healthcare Studies,https://catalog.utdallas.edu/now/undergraduate/programs/is/healthcare,courses/Bachelor of Science in Healthcare Studies.csv
https://www.utdallas.edu/fact-sheets/is/ba-bs-interdisciplinary-studies/,is,Bachelor of Arts and Bachelor of Science in Interdisciplinary Studies,https://catalog.utdallas.edu/now/undergraduate/programs/is/interdisciplinary-studies,courses/Bachelor of Arts and Bachelor of Science in Interdisciplinary Studies.csv
https://www.utdallas.edu/fact-sheets/atec/ba-arts-technology-and-emerging-communication/,atec,"Bachelor of Arts in Arts, Technology, and Emerging Communication",https://catalog.utdallas.edu/now/undergraduate/programs/atec,"courses/Bachelor of Arts in Arts, Technology, and Emerging Communication.csv"
https://www.utdallas.edu/fact-sheets/bbs/bs-cognitive-science/,bbs,Bachelor of Science in Cognitive Science,https://catalog.utdallas.edu/2018/undergraduate/programs/bbs/cognitive-science,courses/Bachelor of Science in Cognitive Science.csv
https://www.utdallas.edu/fact-sheets/bbs/bs-child-learning-and-development/,bbs,Bachelor of Science in Child Learning and Development,https://catalog.utdallas.edu/2018/undergraduate/programs/bbs/child-learning-and-development,courses/Bachelor of Science in Child Learning and Development.csv
https://www.utdallas.edu/fact-sheets/jsom/bs-information-technology-and-systems/,jsom,Bachelor of Science in Information Technology and Systems,https://catalog.utdallas.edu/now/undergraduate/programs/jsom/information-technology-systems,courses/Bachelor of Science in Information Technology and Systems.csv
https://www.utdallas.edu/fact-sheets/jsom/bs-global-business/,jsom,Bachelor of Science in Global Business,https://catalog.utdallas.edu/now/undergraduate/programs/jsom/global-business,courses/Bachelor of Science in Global Business.csv
https://www.utdallas.edu/fact-sheets/jsom/bs-supply-chain-management/,jsom,Bachelor of Science in Supply Chain Management,https://catalog.utdallas.edu/now/undergraduate/programs/jsom/supply-chain-management,courses/Bachelor of Science in Supply Chain Management.csv
https://www.utdallas.edu/fact-sheets/jsom/bs-marketing/,jsom,Bachelor of Science in Marketing,https://catalog.utdallas.edu/now/undergraduate/programs/jsom/marketing,courses/Bachelor of Science in Marketing.csv
https://www.utdallas.edu/fact-sheets/jsom/bs-finance/,jsom,Bachelor of Science in Finance,https://catalog.utdallas.edu/now/undergraduate/programs/jsom/finance,courses/Bachelor of Science in Finance.csv
https://www.utdallas.edu/fact-sheets/jsom/bs-business-administration/,jsom,Bachelor of Science in Business Administration,https://catalog.utdallas.edu/now/undergraduate/programs/jsom/business-administration,courses/Bachelor of Science in Business Administration.csv
https://www.utdallas.edu/fact-sheets/jsom/bs-human-resource-management/,jsom,Bachelor of Science in Human Resource Management,https://catalog.utdallas.edu/now/undergraduate/programs/jsom/human-resource-management,courses/Bachelor of Science in Human Resource Management.csv
https://www.utdallas.edu/fact-sheets/jsom/bs-healthcare-management/,jsom,Bachelor of Science in Healthcare Management,https://catalog.utdallas.edu/now/undergraduate/programs/jsom/healthcare-management,courses/Bachelor of Science in Healthcare Management.csv
https://www.utdallas.edu/fact-sheets/jsom/bs-accounting/,jsom,Bachelor of Science in Accounting,https://catalog.utdallas.edu/now/undergraduate/programs/jsom/accounting,courses/Bachelor of Science in Accounting.csv
https://www.utdallas.edu/fact-sheets/epps/bs-public-policy/,epps,Bachelor of Science in Public Policy,https://catalog.utdallas.edu/now/undergraduate/programs/epps/public-policy,courses/Bachelor of Science in Public Policy.csv
https://www.utdallas.edu/fact-sheets/epps/ba-sociology/,epps,Bachelor of Arts in Sociology,https://catalog.utdallas.edu/now/undergraduate/programs/epps/sociology,courses/Bachelor of Arts in Sociology.csv
https://www.utdallas.edu/fact-sheets/epps/bs-public-affairs/,epps,Bachelor of Science in Public Affairs,https://catalog.utdallas.edu/now/undergraduate/programs/epps/public-affairs,courses/Bachelor of Science in Public Affairs.csv
https://www.utdallas.edu/fact-sheets/epps/ba-bs-international-political-economy/,epps,Bachelor of Arts / Bachelor of Science in International Political Economy,https://catalog.utdallas.edu/now/undergraduate/programs/epps/international-political-economy,courses/Bachelor of Arts / Bachelor of Science in International Political Economy.csv
https://www.utdallas.edu/fact-sheets/epps/bs-geospatial-information-sciences/,epps,Bachelor of Science in Geospatial Information Sciences,https://catalog.utdallas.edu/now/undergraduate/programs/epps/geospatial-information-science,courses/Bachelor of Science in Geospatial Information Sciences.csv
https://www.utdallas.edu/fact-sheets/epps/ba-political-science/,epps,Bachelor of Arts in Political Science,https://catalog.utdallas.edu/now/undergraduate/programs/epps/political-science,courses/Bachelor of Arts in Political Science.csv
https://www.utdallas.edu/fact-sheets/ah/ba-visual-and-performing-arts/,ah,Bachelor of Arts in Visual and Performing Arts,https://catalog.utdallas.edu/2020/undergraduate/programs/ah/,courses/Bachelor of Arts in Visual and Performing Arts.csv
https://www.utdallas.edu/fact-sheets/ah/ba-philosophy/,ah,Bachelor of Arts in Philosophy,https://catalog.utdallas.edu/now/undergraduate/programs/ah/philosophy,courses/Bachelor of Arts in Philosophy.csv
https://www.utdallas.edu/fact-sheets/ah/ba-literature/,ah,Bachelor of Arts in Literature,https://catalog.utdallas.edu/now/undergraduate/programs/ah/literature,courses/Bachelor of Arts in Literature.csv
https://www.utdallas.edu/fact-sheets/ah/ba-history/,ah,Bachelor of Arts in History,https://catalog.utdallas.edu/now/undergraduate/programs/ah/history,courses/Bachelor of Arts in History.csv
https://www.utdallas.edu/fact-sheets/ah/ba-latin-american-studies/,ah,Bachelor of Arts in Latin American Studies,https://catalog.utdallas.edu/now/undergraduate/programs/ah/latin-american-studies,courses/Bachelor of Arts in Latin American Studies.csv
https://www.utdallas.edu/fact-sheets/bbs/bs-speech-language-hearing-sciences/,bbs,"Bachelor of Science in Speech, Language, and Hearing Sciences",https://catalog.utdallas.edu/now/undergraduate/programs/bbs/speech-language-and-hearing-sciences,"courses/Bachelor of Science in Speech, Language, and Hearing Sciences.csv"
https://www.utdallas.edu/fact-sheets/bbs/bs-psychology/,bbs,Bachelor of Science in Psychology,https://catalog.utdallas.edu/2018/undergraduate/programs/bbs/psychology,courses/Bachelor of Science in Psychology.csv
https://www.utdallas.edu/fact-sheets/bbs/bs-neuroscience/,bbs,Bachelor of Science in Neuroscience,https://catalog.utdallas.edu/2018/undergraduate/programs/bbs/neuroscience,courses/Bachelor of Science in Neuroscience.csv
https://www.utdallas.edu/fact-sheets/ecs/bs-biomedical-engineering/,ecs,Bachelor of Science in Biomedical Engineering,https://catalog.utdallas.edu/now/undergraduate/programs/ecs/biomedical-engineering,courses/Bachelor of Science in Biomedical Engineering.csv
https://www.utdallas.edu/fact-sheets/ecs/bs-computer-science/,ecs,Bachelor of Science in Computer Science,https://catalog.utdallas.edu/now/undergraduate/programs/ecs/computer-science,courses/Bachelor of Science in Computer Science.csv
https://www.utdallas.edu/fact-sheets/ecs/bs-electrical-engineering/,ecs,Bachelor of Science in Electrical Engineering,https://catalog.utdallas.edu/now/undergraduate/programs/ecs/electrical-engineering,courses/Bachelor of Science in Electrical Engineering.csv
https://www.utdallas.edu/fact-sheets/ecs/bs-mechanical-engineering/,ecs,Bachelor of Science in Mechanical Engineering,https://catalog.utdallas.edu/now/undergraduate/programs/ecs/mechanical-engineering,courses/Bachelor of Science in Mechanical Engineering.csv
https://www.utdallas.edu/fact-sheets/ecs/bs-software-engineering/,ecs,Bachelor of Science in Software Engineering,https://catalog.utdallas.edu/now/undergraduate/programs/ecs/software-engineering,courses/Bachelor of Science in Software Engineering.csv
https://www.utdallas.edu/fact-sheets/nsm/bs-actuarial-science/,nsm,Bachelor of Science in Actuarial Science,https://catalog.utdallas.edu/now/undergraduate/programs/nsm/actuarial-science,courses/Bachelor of Science in Actuarial Science.csv
https://www.utdallas.edu/fact-sheets/nsm/bs-biochemistry/,nsm,Bachelor of Science in Biochemistry,https://catalog.utdallas.edu/now/undergraduate/programs/nsm/biochemistry,courses/Bachelor of Science in Biochemistry.csv
https://www.utdallas.edu/fact-sheets/nsm/ba-bs-chemistry/,nsm,Bachelor of Arts / Bachelor of Science in Chemistry,https://catalog.utdallas.edu/now/undergraduate/programs/nsm/chemistry,courses/Bachelor of Arts / Bachelor of Science in Chemistry.csv
https://www.utdallas.edu/fact-sheets/nsm/bs-geosciences/,nsm,Bachelor of Science in Geosciences,https://catalog.utdallas.edu/now/undergraduate/programs/nsm/geosciences,courses/Bachelor of Science in Geosciences.csv
https://www.utdallas.edu/fact-sheets/nsm/ba-bs-mathematics/,nsm,Bachelor of Arts / Bachelor of Science in Mathematics,https://catalog.utdallas.edu/now/undergraduate/programs/nsm/mathematics,courses/Bachelor of Arts / Bachelor of Science in Mathematics.csv
https://www.utdallas.edu/fact-sheets/nsm/bs-molecular-biology/,nsm,Bachelor of Science in Molecular Biology,https://catalog.utdallas.edu/2018/undergraduate/programs/nsm/molecular-biology,courses/Bachelor of Science in Molecular Biology.csv
https://www.utdallas.edu/fact-sheets/nsm/ba-bs-physics/,nsm,Bachelor of Arts / Bachelor of Science in Physics,https://catalog.utdallas.edu/now/undergraduate/programs/nsm/physics,courses/Bachelor of Arts / Bachelor of Science in Physics.csv
https://www.utdallas.edu/fact-sheets/ecs/bs-data-science-ecs/,ecs,Bachelor of Science in Data Science,https://catalog.utdallas.edu/now/undergraduate/programs/ecs/,courses/Bachelor of Science in Data Science.csv
https://www.utdallas.edu/fact-sheets/nsm/bs-data-science-nsm/,nsm,Bachelor of Science in Data Science,https://catalog.utdallas.edu/now/undergraduate/programs/nsm/,courses/Bachelor of Science in Data Science.csv
https://www.utdallas.edu/fact-sheets/jsom/ms-in-accounting/,jsom,Master of Science in Accounting,http://catalog.utdallas.edu/now/graduate/programs/jsom/accounting,courses/Master of Science in Accounting.csv
https://www.utdallas.edu/fact-sheets/jsom/ms-in-energy-management/,jsom,Master of Science in Energy Management,http://catalog.utdallas.edu/now/graduate/programs/jsom/energy-management,courses/Master of Science in Energy Management.csv
https://www.utdallas.edu/fact-sheets/jsom/master-of-science-in-finance/,jsom,Master of Science in Finance,https://catalog.utdallas.edu/2019/graduate/programs/jsom/finance,courses/Master of Science in Finance.csv
https://www.utdallas.edu/fact-sheets/nsm/ms-actuarial-science/,nsm,Master of Science in Actuarial Science,https://catalog.utdallas.edu/now/graduate/programs/nsm/mathematics#master-of-science-in-actuarial-science,courses/Master of Science in Actuarial Science.csv
https://www.utdallas.edu/fact-sheets/bbs/msf-applied-cognition-and-neuroscience/,bbs,Master of Science in Applied Cognition and Neuroscience,https://catalog.utdallas.edu/now/graduate/programs/bbs/applied-cognition-and-neuroscience,courses/Master of Science in Applied Cognition and Neuroscience.csv
https://www.utdallas.edu/fact-sheets/epps/ms-applied-sociology/,epps,Master of Science in Applied Sociology,https://catalog.utdallas.edu/now/graduate/programs/epps/sociology#applied-sociology-ms,courses/Master of Science in Applied Sociology.csv
https://www.utdallas.edu/fact-sheets/ah/ma-art-history/,ah,Master of Arts in Art History,https://catalog.utdallas.edu/now/graduate/programs/ah/art-history,courses/Master of Arts in Art History.csv
https://www.utdallas.edu/fact-sheets/atec/ma-atec/,atec,"Master of Arts in Arts, Technology, and Emerging Communication",https://catalog.utdallas.edu/now/graduate/programs/atec/arts-technology-and-emerging-communication-ma,"courses/Master of Arts in Arts, Technology, and Emerging Communication.csv"
https://www.utdallas.edu/fact-sheets/atec/mfa-atec/,atec,"Master of Fine Arts in Arts, Technology, and Emerging Communication",https://catalog.utdallas.edu/now/graduate/programs/atec/arts-technology-and-emerging-communication-mfa,"courses/Master of Fine Arts in Arts, Technology, and Emerging Communication.csv"
https://www.utdallas.edu/fact-sheets/atec/phd-atec/,atec,"Doctor of Philosophy in Arts, Technology, and Emerging Communication",https://catalog.utdallas.edu/now/graduate/programs/atec/arts-technology-and-emerging-communication-ma#doctor-of-philosophy-in-arts-and-technology,"courses/Doctor of Philosophy in Arts, Technology, and Emerging Communication.csv"
https://www.utdallas.edu/fact-sheets/bbs/aud/,bbs,Doctor of Audiology,http://catalog.utdallas.edu/now/graduate/programs/bbs/audiology#audiology-aud,courses/Doctor of Audiology.csv
https://www.utdallas.edu/fact-sheets/nsm/ms-bioinformatics/,nsm,Master of Science in Bioinformatics and Computational Biology,https://catalog.utdallas.edu/now/graduate/programs/nsm/biological-sciences#master-of-science-in-bioinformatics-and-computational-biology,courses/Master of Science in Bioinformatics and Computational Biology.csv
https://www.utdallas.edu/fact-sheets/ecs/ms-biomedical-engineering/,ecs,Master of Science in Biomedical Engineering,http://catalog.utdallas.edu/now/graduate/programs/ecs/biomedical-engineering#biomedical-engineering-ms,courses/Master of Science in Biomedical Engineering.csv
https://www.utdallas.edu/fact-sheets/nsm/ms-biotechnology/,nsm,Master of Science in Biotechnology,https://catalog.utdallas.edu/now/graduate/programs/nsm/biological-sciences#biotechnology-ms,courses/Master of Science in Biotechnology.csv
https://www.utdallas.edu/fact-sheets/jsom/ms-business-analytics/,jsom,Master of Science in Business Analytics,http://catalog.utdallas.edu/now/graduate/programs/jsom/business-analytics,courses/Master of Science in Business Analytics.csv
https://www.utdallas.edu/fact-sheets/nsm/ms-chemistry/,nsm,Master of Science in Chemistry,https://catalog.utdallas.edu/now/graduate/programs/nsm/chemistry-and-biochemistry#master-of-science-in-chemistry,courses/Master of Science in Chemistry.csv
https://www.utdallas.edu/fact-sheets/nsm/phd-chemistry/,nsm,Doctor of Philosophy in Chemistry,https://catalog.utdallas.edu/now/graduate/programs/nsm/chemistry-and-biochemistry#doctor-of-philosophy-in-chemistry,courses/Doctor of Philosophy in Chemistry.csv
https://www.utdallas.edu/fact-sheets/bbs/phd-cognition-and-neuroscience/,bbs,Doctor of Philosophy in Cognition and Neuroscience,http://catalog.utdallas.edu/now/graduate/programs/bbs/doctoral-programs#cognition-and-neuroscience-phd,courses/Doctor of Philosophy in Cognition and Neuroscience.csv
https://www.utdallas.edu/fact-sheets/bbs/ms-communication-disorders/,bbs,Master of Science in Speech-Language Pathology,https://catalog.utdallas.edu/2020/graduate/programs/bbs,courses/Master of Science in Speech-Language Pathology.csv
https://www.utdallas.edu/fact-sheets/bbs/phd-communication-sciences-and-disorders/,bbs,"Doctor of Philosophy in Speech, Language, And Hearing Sciences",https://catalog.utdallas.edu/now/graduate/programs/bbs/doctoral-programs,"courses/Doctor of Philosophy in Speech, Language, And Hearing Sciences.csv"
https://www.utdallas.edu/fact-sheets/ecs/ms-computer-engineering/,ecs,Master of Science in Computer Engineering,http://catalog.utdallas.edu/now/graduate/programs/ecs/computer-engineering#computer-engineering-ms,courses/Master of Science in Computer Engineering.csv
https://www.utdallas.edu/fact-sheets/ecs/phd-computer-engineering/,ecs,Doctor of Philosophy in Computer Engineering,https://catalog.utdallas.edu/now/graduate/programs/ecs/computer-engineering,courses/Doctor of Philosophy in Computer Engineering.csv
https://www.utdallas.edu/fact-sheets/ecs/ms-computer-science/,ecs,Master of Science in Computer Science,http://catalog.utdallas.edu/now/graduate/programs/ecs/computer-science#computer-science-ms,courses/Master of Science in Computer Science.csv
https://www.utdallas.edu/fact-sheets/ecs/phd-computer-science/,ecs,Doctor of Philosophy in Computer Science,https://catalog.utdallas.edu/now/graduate/programs/ecs/computer-science,courses/Doctor of Philosophy in Computer Science.csv
https://www.utdallas.edu/fact-sheets/epps/ms-criminology/,epps,Master of Science in Criminology,https://catalog.utdallas.edu/now/graduate/programs/epps/criminology#criminology-ms,courses/Master of Science in Criminology.csv
https://www.utdallas.edu/fact-sheets/epps/phd-criminology/,epps,Doctor of Philosophy in Criminology,https://catalog.utdallas.edu/now/graduate/programs/epps/criminology#criminology-phd,courses/Doctor of Philosophy in Criminology.csv
https://www.utdallas.edu/fact-sheets/epps/ms-economics/,epps,Master of Science in Economics,https://catalog.utdallas.edu/now/graduate/programs/epps/economics#economics-ms,courses/Master of Science in Economics.csv
https://www.utdallas.edu/fact-sheets/epps/phd-economics/,epps,Doctor of Philosophy in Economics,https://catalog.utdallas.edu/now/graduate/programs/epps/economics#economics-phd,courses/Doctor of Philosophy in Economics.csv
https://www.utdallas.edu/fact-sheets/ecs/ms-electrical-engineering/,ecs,Master of Science in Electrical Engineering,http://catalog.utdallas.edu/now/graduate/programs/ecs/electrical-engineering#electrical-engineering-ms,courses/Master of Science in Electrical Engineering.csv
